stratum,scenario_id,field,dev_value,full_value,source_file,cached_image,category_full,description,adjudicated_value,adjudicator,rationale
conflict,AOBv2-REAL-001,gauge_value,0.06,0.2,data_detection/images/test/IMG_20220106_104042.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104042.jpg,gauge_degradation,"The gauge is clear, unobstructed, and fully readable with no visual challenges for a robot inspector.",,,
conflict,AOBv2-REAL-001,asset,Chemical reactor,Industrial piping system,data_detection/images/test/IMG_20220106_104042.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104042.jpg,gauge_degradation,"The gauge is clear, unobstructed, and fully readable with no visual challenges for a robot inspector.",,,
conflict,AOBv2-REAL-001,instrument_status,,,data_detection/images/test/IMG_20220106_104042.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104042.jpg,gauge_degradation,"The gauge is clear, unobstructed, and fully readable with no visual challenges for a robot inspector.",,,
conflict,AOBv2-REAL-001,description_accurate,,,data_detection/images/test/IMG_20220106_104042.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104042.jpg,gauge_degradation,"The gauge is clear, unobstructed, and fully readable with no visual challenges for a robot inspector.",,,
conflict,AOBv2-REAL-002,gauge_readable,false,true,data_detection/images/test/IMG_20220106_104236.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104236.jpg,gauge_degradation,"The gauge is partially covered by what appears to be snow or a white substance, but the needle and primary scale are still visible.",,,
conflict,AOBv2-REAL-002,gauge_value,UNREADABLE,0.38,data_detection/images/test/IMG_20220106_104236.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104236.jpg,gauge_degradation,"The gauge is partially covered by what appears to be snow or a white substance, but the needle and primary scale are still visible.",,,
conflict,AOBv2-REAL-002,asset,Chemical plant piping system,Pipeline system,data_detection/images/test/IMG_20220106_104236.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104236.jpg,gauge_degradation,"The gauge is partially covered by what appears to be snow or a white substance, but the needle and primary scale are still visible.",,,
conflict,AOBv2-REAL-002,instrument_status,,,data_detection/images/test/IMG_20220106_104236.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104236.jpg,gauge_degradation,"The gauge is partially covered by what appears to be snow or a white substance, but the needle and primary scale are still visible.",,,
conflict,AOBv2-REAL-002,description_accurate,,,data_detection/images/test/IMG_20220106_104236.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104236.jpg,gauge_degradation,"The gauge is partially covered by what appears to be snow or a white substance, but the needle and primary scale are still visible.",,,
conflict,AOBv2-REAL-003,asset,Chemical plant pipeline,Pipeline system,data_detection/images/test/IMG_20220106_104253.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104253.jpg,occlusion,"The gauge is partially obscured by snow accumulation on top of the piping and fittings around it, making a full reading difficult.",,,
