scenario_id,field,status,reason,gates_metric
AOBv2-REAL-001,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-001,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-001,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-001,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-001,gauge_value,contested,dual-labeling disagreement,l1_mae
AOBv2-REAL-001,asset,contested,dual-labeling disagreement,
AOBv2-REAL-002,gauge_readable,contested,dual-labeling disagreement,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-002,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-002,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-002,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-002,gauge_value,contested,dual-labeling disagreement,l1_mae
AOBv2-REAL-002,asset,contested,dual-labeling disagreement,
AOBv2-REAL-003,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-003,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-003,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-003,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-003,gauge_value,trusted,dual labeling agrees,l1_mae
AOBv2-REAL-003,asset,contested,dual-labeling disagreement,
AOBv2-REAL-004,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-004,recommended_action,contested,dual-labeling disagreement,l3_action_accuracy
AOBv2-REAL-004,category,contested,dual-labeling disagreement,a12_recovery_rung
AOBv2-REAL-004,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-004,gauge_value,trusted,dual labeling agrees,l1_mae
AOBv2-REAL-004,asset,contested,dual-labeling disagreement,
AOBv2-REAL-005,gauge_readable,contested,dual-labeling disagreement,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-005,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-005,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-005,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-005,gauge_value,contested,dual-labeling disagreement,l1_mae
AOBv2-REAL-005,asset,contested,dual-labeling disagreement,
AOBv2-REAL-006,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-006,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-006,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-006,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-006,gauge_value,trusted,dual labeling agrees,l1_mae
AOBv2-REAL-006,asset,contested,dual-labeling disagreement,
AOBv2-REAL-007,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-007,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-007,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-007,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-007,gauge_value,trusted,dual labeling agrees,l1_mae
AOBv2-REAL-007,asset,contested,dual-labeling disagreement,
AOBv2-REAL-008,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-008,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-008,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-008,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-008,gauge_value,trusted,dual labeling agrees,l1_mae
AOBv2-REAL-008,asset,contested,dual-labeling disagreement,
AOBv2-REAL-009,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-009,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-009,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-009,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-009,gauge_value,trusted,dual labeling agrees,l1_mae
AOBv2-REAL-009,asset,contested,dual-labeling disagreement,
AOBv2-REAL-010,gauge_readable,contested,dual-labeling disagreement,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-010,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-010,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-010,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-010,gauge_value,contested,dual-labeling disagreement,l1_mae
AOBv2-REAL-010,asset,contested,dual-labeling disagreement,
AOBv2-REAL-011,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-011,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-011,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-011,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-011,gauge_value,trusted,dual labeling agrees,l1_mae
AOBv2-REAL-011,asset,contested,dual-labeling disagreement,
AOBv2-REAL-012,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-012,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-012,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-012,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-012,gauge_value,contested,dual-labeling disagreement,l1_mae
AOBv2-REAL-012,asset,contested,dual-labeling disagreement,
AOBv2-REAL-013,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-013,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-013,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-013,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-013,gauge_value,trusted,dual labeling agrees,l1_mae
AOBv2-REAL-013,asset,contested,dual-labeling disagreement,
AOBv2-REAL-014,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-014,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
